term,standard,spell,ar_meaning,slang_name
أَوَال,اوال,awelle,الحديث أو الكلام,Kabyle
قِيمْ,قيم,9im,إجلس,Kabyle
أَمَانْ,امان,Aman,الماء,Kabyle
ثِقْشِيشِين,ثقشيشين,Thiq-sheesh-een,البنات,Kabyle
أَرَّاشْ,اراش,Arrāsh,الذكور,Kabyle
إِيغْرَذَانْ,ايغرذان,Aigurḍān,الصغار,Kabyle
ثَمْطُوث,ثمطوث,Thamaṭṭūth,امرأة,Kabyle
أَرَاز,اراز,Argāz,رجل,Kabyle
أمْدَاكْلِيو,امداكليو,Amaddākliw,صديقي,Kabyle
ثَمْدَكُلْتِيو,ثمدكلتيو,Thamaddākultiw,صديقتي,Kabyle
القاعا,القاعا,Al-Qa'a,الأرض,Kabyle
أغور,اغور,Aguur,القمر,Kabyle
أخَام,اخام,Akham,المنزل,Kabyle
ثَخَّامْث,ثخامث,Thkhamth,الغرفة,Kabyle
ثْفَاث,ثفاث,Thfath,الضوء,Kabyle
طَلام,طلام,Tilam,الظلمة,Kabyle
سُوسَم,سوسم,Sūsam,اسكت,Kabyle
أَطَّس,اطس,Aṭṭas,ارقد,Kabyle
أتَّش,اتش,Atsh,كل (أي أكل),Kabyle
أَفَّغ,افغ,Affagh,اخرج,Kabyle
سِيوَل,سيول,Siwal,إتصل,Kabyle
أفْغِيغ,افغيغ,Avghīgh,اريد,Kabyle
زَمْرَغ,زمرغ,Zamragh,استطيع,Kabyle
أَزْل,ازل,Azzal,اجري,Kabyle
أَرْنُود,ارنود,Arnood,زيد,Kabyle
أَرْنُوييد,ارنوييد,Arnūyīd,زيديلي,Kabyle
أَذْلَمْذَغ,اذلمذغ,Adhlamdagh,اتعلم,Kabyle
ذَاشُو,ذاشو,Dāshū,ماذا,Kabyle
ثُورَا,ثورا,Thūrā,الآن,Kabyle
مَنْهُو,منهو,Manhoo,من,Kabyle
يِيون,ييون,Yiywan,واحد,Kabyle
سِين,سين,Seen,اثنان,Kabyle
أغاريفاز,اغاريفاز,agharevaz,مدرسة,Kabyle
أَخَّام,اخام,akham,منزل,Kabyle
إتيج,اتيج,itij,شمس,Kabyle
أغور,اغور,agour,قمر,Kabyle
إِثْرِي,اثري,ithri,نجم,Kabyle
ثَابُّورْث,ثابورث,thappourth,الباب,Kabyle
تاك... الطَّاقْ,تاك الطاق,tak,النافذة,Kabyle
ثِيغَارْغَارْث,ثيغارغارث,thighargharth,الساحة,Kabyle
ثَاخَامْث,ثاخامث,thakhamth,الغرفة,Kabyle
ثَاذْفِيسِيتْس,ثاذفيسيتس,thadhevsits,صحن,Kabyle
ثَاغْنْجَاوْث أو ثِيجْلَتْ,ثاغنجاوث او ثيجلت,thaghendjawth,ملعقة,Kabyle
أَكْشِيش,اكشيش,akchich,الطفل,Kabyle
أُوِيزْلَان,اويزلان,awezlan,قصير,Kabyle
أَعْلَاي,اعلاي,a3lay,عالي,Kabyle
مُقَّرْ,مقر,mokar,كبير,Kabyle
مَشْطُوحْ,مشطوح,mechtoh,صغير,Kabyle
ثَامْغَارْث/ ذَامْغَار,ثامغارث/ ذامغار,dhamghar,عجوز,Kabyle
أَفُوس,افوس,afouss,اليد,Kabyle
أَلِين أَلَّنْ,الين الن,alen,العينين,Kabyle
أَذْهَار,اذهار,adhar,الرِّجل,Kabyle
أُول,اول,oul,القلب,Kabyle
إِذْهَامَن,اذهامن,idhammen,الدم,Kabyle
تَاوِيل,تاويل,tawil,الحل,Kabyle
أَغْفُور,اغفور,agfour,المطر,Kabyle
أَذْفَل,اذفل,adhfel,الثلج,Kabyle
الحامو,الحامو,el hamou,الحرارة,Kabyle
أَصَمِّيذ,اصميذ,assemidh,البرودة,Kabyle
أَنْكْشُوم,انكشوم,anekchoum,الدخول,Kabyle
ثُوفْغَا,ثوفغا,thoufgha,الخروج,Kabyle
إِِفيدِي,افيدي,iveddi,الوقوف,Kabyle
إِغِيمِي,اغيمي,ighimi,الجلوس,Kabyle
تَدَّارْت,تدارت,teddart,منزل,Mozabit
تْفُويْت,تفويت,tfuoit,شمس,Mozabit
يُور,يور,yur,قمر,Mozabit
تَاوُوُرْت,تاوورت,tawurt,الباب,Mozabit
تَاقَّت,تاقت,taqqet,النافذة,Mozabit
تَاسَقَّا,تاسقا,tasqqa,الغرفة,Mozabit
طَبْسِي,طبسي,tabssi,صحن,Mozabit
تَاغْنْجَايْت,تاغنجايت,taghenjayt,ملعقة,Mozabit
أَضَفْلِي,اضفلي,adfly,الطفل,Mozabit
دَاقَزُّول,داقزول,daqzzul,قصير,Mozabit
يُولِي,يولي,yuli,عالي,Mozabit
دَازَعْلُوك,دازعلوك,dazaeluk,كبير,Mozabit
دَابَزَّان,دابزان,dabezzan,صغير,Mozabit
تَاوُسَارْت/ أَوَسَّار,تاوسارت/ اوسار,tausart,عجوز,Mozabit
فُوس,فوس,fus,اليد,Mozabit
تِطَّاوِين,تيطاوين,tittawin,العينين,Mozabit
ضَار,ضار,dhar,الرِّجل,Mozabit
تَاجْنِيوْت,تاجنيوت,tajniwt,المطر,Mozabit
الحومَّان,الحومان,alhoman,الحرارة,Mozabit
تَاصْمُودِي,تاصمودي,tasmudi,البرودة,Mozabit
أَتَّاف,اتاف,ataf,الدخول,Mozabit
أُوفُوغ,اوفوغ,ofugh,الخروج,Mozabit
